Id 0 is the current pipeline parameters			this is a percentage. You must call a MATLAB function to calculate the correct threshold value to use.	   			 														input fib path DOES NOT GO IN THIS SPREADSHEET	output trk path  DOES NOT GO IN THIS SPREADSHEET	path to labels file  DOES NOT GO IN THIS SPREADSHEET	
uid	seed_count	seed_plan	fa_threshold	turning_angle	step_size	min_length	max_length	method	otsu_threshold	smoothing	tip_iteration	random_seed	export	connectivity_threshold	connectivity_type	connectivity_value	threshold_index	thread_count	interpolation	initial_dir	source	output	connectivity	connectivity_output
0	2000000	0	10	45	0.01	0.5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
1	2000000	0	1	45	0.01	0.5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
2	2000000	0	5	45	0.01	0.5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
3	2000000	0	15	45	0.01	0.5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
4	2000000	0	20	45	0.01	0.5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
5	2000000	0	25	45	0.01	0.5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
6	2000000	0	30	45	0.01	0.5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
7	2000000	0	35	45	0.01	0.5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
8	2000000	0	10	45	0.01	1	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
9	2000000	0	1	45	0.01	1	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
10	2000000	0	5	45	0.01	1	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
11	2000000	0	15	45	0.01	1	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
12	2000000	0	20	45	0.01	1	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
13	2000000	0	25	45	0.01	1	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
14	2000000	0	30	45	0.01	1	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
15	2000000	0	35	45	0.01	1	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
16	2000000	0	10	45	0.01	5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
17	2000000	0	1	45	0.01	5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
18	2000000	0	5	45	0.01	5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
19	2000000	0	15	45	0.01	5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
20	2000000	0	20	45	0.01	5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
21	2000000	0	25	45	0.01	5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
22	2000000	0	30	45	0.01	5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
23	2000000	0	35	45	0.01	5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
24	2000000	0	10	25	0.01	0.5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
25	2000000	0	1	25	0.01	0.5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
26	2000000	0	5	25	0.01	0.5	200	0	0.6	0.01	0	0	tdi,tdi_color	0	pass	count,ncount,dti_fa,ad,md,rd,mean_length	qa	24	0	2				
