Var1,group1,group2,specimen,subgroup2,group3,subgroup1,group_position,vcount,ecount,tract_count,suffix,file,label_lookup_path,label_path,stat_path,stat_path_erode,scale,total_brain_vol_withoutVS
28,Tg,DSI-Studio-v20221012,N59128NLSAM,BXD77,old,F,1,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN59128NLSAMdsi_studio\nii4D_N59128NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N59128NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN59128NLSAMdsi_studio\labels\RCCF\N59128NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN59128NLSAMdsi_studio\labels\RCCF\N59128NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59128NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59128NLSAM_RCCF_erode1_stats_with_ontology.csv,2.80513000488281,488.0926
21,nTg,DSI-Studio-v20221012,N59130NLSAM,BXD77,old,F,1,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN59130NLSAMdsi_studio\nii4D_N59130NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N59130NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN59130NLSAMdsi_studio\labels\RCCF\N59130NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN59130NLSAMdsi_studio\labels\RCCF\N59130NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59130NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59130NLSAM_RCCF_erode1_stats_with_ontology.csv,2.87717175483704,500.6279
22,nTg,DSI-Studio-v20221012,N59132NLSAM,BXD77,old,M,2,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN59132NLSAMdsi_studio\nii4D_N59132NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N59132NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN59132NLSAMdsi_studio\labels\RCCF\N59132NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN59132NLSAMdsi_studio\labels\RCCF\N59132NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59132NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59132NLSAM_RCCF_erode1_stats_with_ontology.csv,2.90055680274963,504.6969
29,Tg,DSI-Studio-v20221012,N59134NLSAM,BXD77,old,M,2,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN59134NLSAMdsi_studio\nii4D_N59134NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N59134NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN59134NLSAMdsi_studio\labels\RCCF\N59134NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN59134NLSAMdsi_studio\labels\RCCF\N59134NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59134NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59134NLSAM_RCCF_erode1_stats_with_ontology.csv,2.79670834541321,486.6272
30,Tg,DSI-Studio-v20221012,N60076NLSAM,BXD77,old,F,3,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60076NLSAMdsi_studio\nii4D_N60076NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60076NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60076NLSAMdsi_studio\labels\RCCF\N60076NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60076NLSAMdsi_studio\labels\RCCF\N60076NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60076NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60076NLSAM_RCCF_erode1_stats_with_ontology.csv,2.83194541931152,492.7585
31,Tg,DSI-Studio-v20221012,N60145NLSAM,BXD77,old,M,4,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60145NLSAMdsi_studio\nii4D_N60145NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60145NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60145NLSAMdsi_studio\labels\RCCF\N60145NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60145NLSAMdsi_studio\labels\RCCF\N60145NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60145NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60145NLSAM_RCCF_erode1_stats_with_ontology.csv,2.67218899726868,464.9609
32,Tg,DSI-Studio-v20221012,N60149NLSAM,BXD77,old,F,5,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60149NLSAMdsi_studio\nii4D_N60149NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60149NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60149NLSAMdsi_studio\labels\RCCF\N60149NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60149NLSAMdsi_studio\labels\RCCF\N60149NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60149NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60149NLSAM_RCCF_erode1_stats_with_ontology.csv,2.73984527587891,476.7331
33,Tg,DSI-Studio-v20221012,N60151NLSAM,BXD77,old,M,6,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60151NLSAMdsi_studio\nii4D_N60151NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60151NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60151NLSAMdsi_studio\labels\RCCF\N60151NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60151NLSAMdsi_studio\labels\RCCF\N60151NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60151NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60151NLSAM_RCCF_erode1_stats_with_ontology.csv,2.69557785987854,469.0305
34,Tg,DSI-Studio-v20221012,N60153NLSAM,BXD77,old,F,7,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60153NLSAMdsi_studio\nii4D_N60153NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60153NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60153NLSAMdsi_studio\labels\RCCF\N60153NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60153NLSAMdsi_studio\labels\RCCF\N60153NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60153NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60153NLSAM_RCCF_erode1_stats_with_ontology.csv,2.77009224891663,481.9961
23,nTg,DSI-Studio-v20221012,N60155NLSAM,BXD77,old,F,3,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60155NLSAMdsi_studio\nii4D_N60155NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60155NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60155NLSAMdsi_studio\labels\RCCF\N60155NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60155NLSAMdsi_studio\labels\RCCF\N60155NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60155NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60155NLSAM_RCCF_erode1_stats_with_ontology.csv,2.69708895683289,469.2935
